year,team_wiki,seed
2005,Old Dominion,12
2005,Pacific,8
2005,Pennsylvania,13
2005,Pittsburgh,9
2005,Southeastern Louisiana,15
2005,Southern Illinois,7
2005,St. Mary's,10
2005,Stanford,8
2005,Syracuse,4
2005,Texas,8
2005,Texas Tech,6
2005,UAB,11
2005,UCF,15
2005,UCLA,11
2005,UT-Chattanooga,15
2005,UTEP,11
2005,UW–Milwaukee,12
2005,Utah,6
2005,Utah State,14
2005,Vermont,13
2005,Villanova,5
2005,Wake Forest,2
2005,Washington,1
2005,West Virginia,7
2005,Winthrop,14
2005,Wisconsin,6
2006,Air Force,13
2006,Alabama,10
2006,Albany,16
2006,Arizona,8
2006,Arkansas,8
2006,Belmont,15
2006,Boston College,4
2006,Bradley,13
2006,Bucknell,9
2006,California,7
2006,Davidson,15
2006,Duke,1
2006,Florida,3
2006,George Mason,11
2006,George Washington,8
2006,Georgetown,7
2006,Gonzaga,3
2006,Illinois,4
2006,Indiana,6
2006,Iona,13
2006,Iowa,3
2006,Kansas,4
2006,Kent State,12
2006,Kentucky,8
2006,LSU,4
2006,Marquette,7
2006,Memphis,1
2006,Michigan State,6
2006,Milwaukee,11
2006,Monmouth,16
2006,Montana,12
2006,Murray State,14
2006,Nevada,5
2006,North Carolina,3
2006,North Carolina State,10
2006,Northern Iowa,10
2006,Northwestern State,14
2006,Ohio State,2
2006,Oklahoma,6
2006,Oral Roberts,16
2006,Pacific,13
2006,Pennsylvania,15
2006,Pittsburgh,5
2006,San Diego State,11
2006,Seton Hall,10
2006,South Alabama,14
2006,Southern,16
2006,Southern Illinois,11
2006,Syracuse,5
2006,Tennessee,2
2006,Texas,2
2006,Texas A&M,12
2006,UAB,9
2006,UCLA,2
2006,UConn,1
2006,UNC-Wilmington,9
2006,Utah State,12
2006,Villanova,1
2006,Washington,5
2006,West Virginia,6
2006,Wichita State,7
2006,Winthrop,15
2006,Wisconsin,9
2006,Xavier,14
2007,Albany,13
2007,Arizona,8
2007,Arkansas,12
2007,BYU,8
2007,Belmont,15
2007,Boston College,7
2007,Butler,5
2007,C. Conn. St.,16
2007,Creighton,10
2007,Davidson,13
2007,Duke,6
2007,Eastern Ky.,16
2007,Florida,1
2007,Florida A&M,16
2007,G. Washington,11
2007,Georgetown,2
2007,Georgia Tech,10
2007,Gonzaga,10
2007,Holy Cross,13
2007,Illinois,12
2007,Indiana,7
2007,Jackson St.,16
2007,Kansas,1
2007,Kentucky,8
2007,Long Beach St.,12
2007,Louisville,6
2007,Marquette,8
2007,Maryland,4
2007,Memphis,2
2007,Miami,14
2007,Michigan St.,9
2007,Nevada,7
2007,New Mexico St.,13
2007,Niagara,16
2007,North Carolina,1
2007,North Texas,15
2007,Notre Dame,6
2007,Ohio St.,1
2007,Old Dominion,12
2007,Oral Roberts,14
2007,Oregon,3
2007,Penn,14
2007,Pittsburgh,3
2007,Purdue,9
2007,Southern Cal,5
2007,Southern Ill.,4
2007,Stanford,11
2007,Tennessee,5
2007,Texas,4
2007,Texas A&M,3
2007,Texas A&M-CC,15
2007,Texas Tech,10
2007,UCLA,2
2007,UNLV,7
2007,VCU,11
2007,Vanderbilt,6
2007,Villanova,9
2007,Virginia,4
2007,Virginia Tech,5
2007,Washington St.,3
2007,Weber St.,15
2007,Winthrop,11
2007,Wisconsin,2
2007,Wright St.,14
2007,Xavier,9
2008,American,15
2008,Arizona,10
2008,Arkansas,9
2008,Austin Peay,15
2008,Baylor,11
2008,Belmont,15
2008,Boise St.,14
2008,Brigham Young,8
2008,Butler,7
2008,Cal St. Fullerton,14
2008,Clemson,5
2008,Connecticut,4
2008,Coppin St.,16
2008,Cornell,14
2008,Davidson,10
2008,Drake,5
2008,Duke,2
2008,George Mason,12
2008,Georgetown,2
2008,Georgia,14
2008,Gonzaga,7
2008,Indiana,8
2008,Kansas,1
2008,Kansas St.,11
2008,Kent St.,9
2008,Kentucky,11
2008,Louisville,3
2008,Marquette,6
2008,Memphis,1
2008,Miami,7
2008,Michigan State,5
2008,Mississippi St.,8
2008,Mississippi Val.,16
2008,Mount St. Mary's,16
2008,North Carolina,1
2008,Notre Dame,5
2008,Oklahoma,6
2008,Oral Roberts,13
2008,Oregon,9
2008,Pittsburgh,4
2008,Portland St.,16
2008,Purdue,6
2008,San Diego,13
2008,Siena,13
2008,South Alabama,10
2008,Southern California,6
2008,St. Joseph's,11
2008,St. Mary's,10
2008,Stanford,3
2008,Temple,12
2008,Tennessee,2
2008,Texas,2
2008,Texas A&M,9
2008,Texas-Arlington,16
2008,UCLA,1
2008,UMBC,15
2008,UNLV,8
2008,Vanderbilt,4
2008,Villanova,12
2008,Washington St.,4
2008,West Virginia,7
2008,Western Kentucky,12
2008,Winthrop,13
2008,Wisconsin,3
2008,Xavier,3
2009,Akron,13
2009,Alabama State,16
2009,American,14
2009,Arizona,12
2009,Arizona State,6
2009,BYU,8
2009,Binghamton,15
2009,Boston College,7
2009,Butler,9
2009,Cal State Northridge,15
2009,California,7
2009,Chattanooga,16
2009,Clemson,7
2009,Cleveland State,13
2009,Connecticut,1
2009,Cornell,14
2009,Dayton,11
2009,Duke,2
2009,East Tennessee St.,16
2009,Florida St.,5
2009,Gonzaga,4
2009,Illinois,5
2009,Kansas,3
2009,LSU,8
2009,Louisville,1
2009,Marquette,6
2009,Maryland,10
2009,Memphis,2
2009,Michigan,10
2009,Michigan State,2
2009,Minnesota,10
2009,Mississippi State,13
2009,Missouri,3
2009,Morehead State,16
2009,Morgan State,15
2009,North Carolina,1
2009,North Dakota State,14
2009,Northern Iowa,12
2009,Ohio State,8
2009,Oklahoma,2
2009,Oklahoma State,8
2009,Pittsburgh,1
2009,Portland St.,13
2009,Purdue,5
2009,Radford,16
2009,Robert Morris,15
2009,Siena,9
2009,Stephen F. Austin,14
2009,Syracuse,3
2009,Temple,11
2009,Tennessee,9
2009,Texas,7
2009,Texas A&M,9
2009,UCLA,6
2009,USC,10
2009,Utah,5
2009,Utah State,11
2009,VCU,11
2009,Villanova,3
2009,Wake Forest,4
2009,Washington,4
2009,West Virginia,6
2009,Western Kentucky,12
2009,Wisconsin,12
2009,Xavier,4
2010,Arkansas-Pine Bluff,16
2010,BYU,7
2010,Baylor,3
2010,Butler,5
2010,California,8
2010,Clemson,7
2010,Cornell,12
2010,Duke,1
2010,East Tennessee State,16
2010,Florida,10
2010,Florida State,9
2010,Georgetown,3
2010,Georgia Tech,10
2010,Gonzaga,8
2010,Houston,13
2010,Kansas,1
2010,Kansas State,2
2010,Kentucky,1
2010,Lehigh,16
2010,Louisville,9
2010,Marquette,6
2010,Maryland,4
2010,Michigan State,5
2010,Minnesota,11
2010,Missouri,10
2010,Montana,14
2010,Morgan State,15
2010,Murray State,13
2010,New Mexico,3
2010,New Mexico State,12
2010,North Texas,15
2010,Northern Iowa,9
2010,Notre Dame,6
2010,Oakland,14
2010,Ohio,14
2010,Ohio State,2
2010,Oklahoma State,7
2010,Old Dominion,11
2010,Pittsburgh,3
2010,Purdue,4
2010,Richmond,7
2010,Robert Morris,15
2010,Saint Mary's,10
2010,Sam Houston State,14
2010,San Diego State,11
2010,Siena,13
2010,Syracuse,1
2010,Temple,5
2010,Tennessee,6
2010,Texas,8
2010,Texas A&M,5
2010,UC Santa Barbara,15
2010,UNLV,8
2010,UTEP,12
2010,Utah State,12
2010,Vanderbilt,4
2010,Vermont,16
2010,Villanova,2
2010,Wake Forest,9
2010,Washington,11
2010,West Virginia,2
2010,Winthrop,16
2010,Wisconsin,4
2010,Wofford,13
2010,Xavier,6
2011,Akron,15
2011,Alabama State,16
2011,Arizona,5
2011,Arkansas-Little Rock,16
2011,BYU,3
2011,Belmont,13
2011,Boston University,16
2011,Bucknell,14
2011,Butler,8
2011,Cincinnati,6
2011,Clemson,12
2011,Connecticut,3
2011,Duke,1
2011,Florida,2
2011,Florida State,10
2011,George Mason,8
2011,Georgetown,6
2011,Georgia,10
2011,Gonzaga,11
2011,Hampton,16
2011,Illinois,9
2011,Indiana State,14
2011,Kansas,1
2011,Kansas State,5
2011,Kentucky,4
2011,Long Island,15
2011,Louisville,4
2011,Marquette,11
2011,Memphis,12
2011,Michigan,8
2011,Michigan State,10
2011,Missouri,11
2011,Morehead State,13
2011,North Carolina,2
2011,Northern Colorado,15
2011,Notre Dame,2
2011,Oakland,13
2011,Ohio State,1
2011,Old Dominion,9
2011,Penn State,10
2011,Pittsburgh,1
2011,Princeton,13
2011,Purdue,3
2011,Richmond,12
2011,Saint Peter's,14
2011,San Diego State,2
2011,St. John's,6
2011,Syracuse,3
2011,Temple,7
2011,Tennessee,9
2011,Texas,4
2011,Texas A&M,7
2011,UAB,12
2011,UC Santa Barbara,15
2011,UCLA,7
2011,UNC Asheville,16
2011,UNC-Asheville,16
2011,UNLV,8
2011,USC,11
2011,UTSA,16
2011,Utah State,12
2011,VCU,11
2011,Vanderbilt,5
2011,Villanova,9
2011,Washington,7
2011,West Virginia,5
2011,Wisconsin,4
2011,Wofford,14
2011,Xavier,6
2012,Alabama,9
2012,Baylor,3
2012,Belmont,14
2012,Brigham Young,14
2012,California,12
2012,Cincinnati,6
2012,Colorado,11
2012,Colorado State,11
2012,Connecticut,9
2012,Creighton,8
2012,Davidson,13
2012,Detroit,15
2012,Duke,2
2012,Florida,7
2012,Florida State,3
2012,Georgetown,3
2012,Gonzaga,7
2012,Harvard,12
2012,Indiana,4
2012,Iona,14
2012,Iowa State,8
2012,Kansas,2
2012,Kansas State,8
2012,Kentucky,1
2012,Lamar,16
2012,Lehigh,15
2012,Long Beach State,12
2012,Long Island,16
2012,Louisville,4
2012,Loyola,15
2012,Marquette,3
2012,Memphis,8
2012,Michigan,4
2012,Michigan State,1
2012,Mississippi Valley State,16
2012,Missouri,2
2012,Montana,13
2012,Murray State,6
2012,New Mexico,5
2012,New Mexico State,13
2012,Norfolk State,15
2012,North Carolina,1
2012,North Carolina State,11
2012,Notre Dame,7
2012,Ohio,13
2012,Ohio State,2
2012,Purdue,10
2012,Saint Louis,9
2012,Saint Mary's,7
2012,San Diego State,6
2012,South Dakota State,14
2012,South Florida,12
2012,Southern Miss,9
2012,St. Bonaventure,14
2012,Syracuse,1
2012,Temple,5
2012,Texas,11
2012,UNC Asheville,16
2012,UNLV,6
2012,Vanderbilt,5
2012,Vermont,16
2012,Virginia,10
2012,Virginia Commonwealth,12
2012,West Virginia,10
2012,Western Kentucky,16
2012,Wichita State,5
2012,Wisconsin,4
2012,Xavier,10
2013,Akron,12
2013,Albany,15
2013,Arizona,6
2013,Belmont,11
2013,Boise State,13
2013,Bucknell,11
2013,Butler,6
2013,California,12
2013,Cincinnati,10
2013,Colorado,10
2013,Colorado State,8
2013,Creighton,7
2013,Davidson,14
2013,Duke,2
2013,Florida,3
2013,Florida Gulf Coast,15
2013,Georgetown,2
2013,Gonzaga,1
2013,Harvard,14
2013,Illinois,7
2013,Indiana,1
2013,Iona,15
2013,Iowa State,10
2013,James Madison,16
2013,Kansas,1
2013,Kansas State,4
2013,La Salle,13
2013,Liberty,16
2013,Long Island,16
2013,Louisville,1
2013,Marquette,3
2013,Memphis,6
2013,Miami,2
2013,Michigan,4
2013,Michigan State,3
2013,Middle Tennessee,11
2013,Minnesota,11
2013,Mississippi,12
2013,Missouri,9
2013,Montana,13
2013,NC State,8
2013,New Mexico,3
2013,New Mexico State,13
2013,North Carolina,8
2013,North Carolina A&T,16
2013,Northwestern State,14
2013,Notre Dame,7
2013,Ohio State,2
2013,Oklahoma,10
2013,Oklahoma State,5
2013,Oregon,12
2013,Pacific,15
2013,Pittsburgh,8
2013,Saint Louis,4
2013,Saint Mary's,11
2013,San Diego State,7
2013,South Dakota State,13
2013,Southern,16
2013,Syracuse,4
2013,Temple,9
2013,UCLA,6
2013,UNLV,5
2013,VCU,5
2013,Valparaiso,14
2013,Villanova,9
2013,Western Kentucky,16
2013,Wichita State,9
2013,Wisconsin,5
2014,Albany,16
2014,American,15
2014,Arizona,1
2014,Arizona State,10
2014,BYU,10
2014,Baylor,6
2014,Cal Poly,16
2014,Cincinnati,5
2014,Coastal Carolina,16
2014,Colorado,8
2014,Connecticut,7
2014,Creighton,3
2014,Dayton,11
2014,Delaware,13
2014,Duke,3
2014,Eastern Kentucky,15
2014,Florida,1
2014,George Washington,9
2014,Gonzaga,8
2014,Harvard,12
2014,Iowa,11
2014,Iowa State,3
2014,Kansas,2
2014,Kansas State,9
2014,Kentucky,8
2014,Louisiana–Lafayette,14
2014,Louisville,4
2014,Manhattan,13
2014,Massachusetts,6
2014,Memphis,8
2014,Mercer,14
2014,Michigan,2
2014,Michigan State,4
2014,Milwaukee,15
2014,Mount St. Mary's,16
2014,NC Central,14
2014,NC State,12
2014,Nebraska,11
2014,New Mexico,7
2014,New Mexico State,13
2014,North Carolina,6
2014,North Dakota State,12
2014,Ohio State,6
2014,Oklahoma,5
2014,Oklahoma State,9
2014,Oregon,7
2014,Pittsburgh,9
2014,Providence,11
2014,Saint Louis,5
2014,San Diego State,4
2014,St. Joseph's,10
2014,Stanford,10
2014,Stephen F. Austin,12
2014,Syracuse,3
2014,Tennessee,11
2014,Texas,7
2014,Texas Southern,16
2014,Tulsa,13
2014,UCLA,4
2014,VCU,5
2014,Villanova,2
2014,Virginia,1
2014,Weber State,16
2014,Western Michigan,14
2014,Wichita State,1
2014,Wisconsin,2
2014,Wofford,15
2014,Xavier,12
2015,Albany,14
2015,Arizona,2
2015,Arkansas,5
2015,BYU,11
2015,Baylor,3
2015,Belmont,15
2015,Boise State,11
2015,Buffalo,12
2015,Butler,6
2015,Cincinnati,8
2015,Coastal Carolina,16
2015,Davidson,10
2015,Dayton,11
2015,Duke,1
2015,Eastern Washington,13
2015,Georgetown,4
2015,Georgia,10
2015,Georgia State,14
2015,Gonzaga,2
2015,Hampton,16
2015,Harvard,13
2015,Indiana,10
2015,Iowa,7
2015,Iowa State,3
2015,Kansas,2
2015,Kentucky,1
2015,LSU,9
2015,Lafayette,16
2015,Louisville,4
2015,Manhattan,16
2015,Maryland,4
2015,Michigan State,7
2015,NC State,8
2015,New Mexico State,15
2015,North Carolina,4
2015,North Dakota State,15
2015,North Florida,16
2015,Northeastern,14
2015,Northern Iowa,5
2015,Notre Dame,3
2015,Ohio State,10
2015,Oklahoma,3
2015,Oklahoma State,9
2015,Ole Miss,11
2015,Oregon,8
2015,Providence,6
2015,Purdue,9
2015,Robert Morris,16
2015,SMU,6
2015,San Diego State,8
2015,St. John's,9
2015,Stephen F. Austin,12
2015,Texas,11
2015,Texas Southern,15
2015,UAB,14
2015,UC Irvine,13
2015,UCLA,11
2015,Utah,5
2015,VCU,7
2015,Valparaiso,13
2015,Villanova,1
2015,Virginia,2
2015,West Virginia,5
2015,Wichita State,7
2015,Wisconsin,1
2015,Wofford,12
2015,Wyoming,12
2015,Xavier,6
2016,Arizona,6
2016,Arkansas–Little Rock,12
2016,Austin Peay,16
2016,Baylor,5
2016,Buffalo,14
2016,Butler,9
2016,Cal State Bakersfield,15
2016,California,4
2016,Chattanooga,12
2016,Cincinnati,9
2016,Colorado,8
2016,Connecticut,9
2016,Dayton,7
2016,Duke,4
2016,Fairleigh Dickinson,16
2016,Florida Gulf Coast,16
2016,Fresno State,14
2016,Gonzaga,11
2016,Green Bay,14
2016,Hampton,16
2016,Hawaii,13
2016,Holy Cross,16
2016,Indiana,5
2016,Iona,13
2016,Iowa,7
2016,Iowa State,4
2016,Kansas,1
2016,Kentucky,4
2016,Maryland,5
2016,Miami,3
2016,Michigan,11
2016,Michigan State,2
2016,Middle Tennessee,15
2016,North Carolina,1
2016,Northern Iowa,11
2016,Notre Dame,6
2016,Oklahoma,2
2016,Oregon,1
2016,Oregon State,7
2016,Pittsburgh,10
2016,Providence,9
2016,Purdue,5
2016,Saint Joseph's,8
2016,Seton Hall,6
2016,South Dakota State,12
2016,Southern,16
2016,Stephen F. Austin,14
2016,Stony Brook,13
2016,Syracuse,10
2016,Temple,10
2016,Texas,6
2016,Texas A&M,3
2016,Texas Tech,8
2016,Tulsa,11
2016,UNC Asheville,15
2016,UNC Wilmington,13
2016,USC,8
2016,Utah,3
2016,VCU,10
2016,Vanderbilt,11
2016,Villanova,2
2016,Virginia,1
2016,Weber State,15
2016,West Virginia,3
2016,Wichita State,11
2016,Wisconsin,7
2016,Xavier,2
2016,Yale,12
2017,Arizona,2
2017,Arkansas,8
2017,Baylor,3
2017,Bucknell,13
2017,Butler,4
2017,Cincinnati,6
2017,Creighton,6
2017,Dayton,7
2017,Duke,2
2017,East Tennessee State,13
2017,Florida,4
2017,Florida Gulf Coast,14
2017,Florida State,3
2017,Gonzaga,1
2017,Iona,14
2017,Iowa State,5
2017,Jacksonville State,15
2017,Kansas,1
2017,Kansas State,11
2017,Kent State,14
2017,Kentucky,2
2017,Louisville,2
2017,Marquette,10
2017,Maryland,6
2017,Miami,8
2017,Michigan,7
2017,Michigan State,9
2017,Middle Tennessee,12
2017,Minnesota,5
2017,Mount St. Mary's,16
2017,Nevada,12
2017,New Mexico State,14
2017,New Orleans,16
2017,North Carolina,1
2017,North Carolina Central,16
2017,North Dakota,15
2017,Northern Kentucky,15
2017,Northwestern,8
2017,Notre Dame,5
2017,Oklahoma State,10
2017,Oregon,3
2017,Princeton,12
2017,Providence,11
2017,Purdue,4
2017,Rhode Island,11
2017,SMU,6
2017,Saint Mary's,7
2017,Seton Hall,9
2017,South Carolina,7
2017,South Dakota State,16
2017,Texas Southern,16
2017,Troy,15
2017,UC Davis,16
2017,UCLA,3
2017,UNC Wilmington,12
2017,USC,11
2017,VCU,10
2017,Vanderbilt,9
2017,Vermont,13
2017,Villanova,1
2017,Virginia,5
2017,Virginia Tech,9
2017,Wake Forest,11
2017,West Virginia,4
2017,Wichita State,10
2017,Winthrop,13
2017,Wisconsin,8
2017,Xavier,11
2017,[[2016–17 USC Trojans,11
2018,Alabama,9
2018,Arizona,4
2018,Arizona State,11
2018,Arkansas,7
2018,Auburn,4
2018,Bucknell,14
2018,Buffalo,13
2018,Butler,10
2018,Cal State Fullerton,15
2018,Cincinnati,2
2018,Clemson,5
2018,College of Charleston,13
2018,Creighton,8
2018,Davidson,12
2018,Duke,2
2018,Florida,6
2018,Florida State,9
2018,Georgia State,15
2018,Gonzaga,4
2018,Houston,6
2018,Iona,15
2018,Kansas,1
2018,Kansas State,9
2018,Kentucky,5
2018,LIU Brooklyn,16
2018,Lipscomb,15
2018,Loyola–Chicago,11
2018,Marshall,13
2018,Miami,6
2018,Michigan,3
2018,Michigan State,3
2018,Missouri,8
2018,Montana,14
2018,Murray State,12
2018,NC State,9
2018,Nevada,7
2018,New Mexico State,12
2018,North Carolina,2
2018,North Carolina Central,16
2018,Ohio State,5
2018,Oklahoma,10
2018,Penn,16
2018,Providence,10
2018,Purdue,2
2018,Radford,16
2018,Rhode Island,7
2018,San Diego State,11
2018,Seton Hall,8
2018,South Dakota State,12
2018,St. Bonaventure,11
2018,Stephen F. Austin,14
2018,Syracuse,11
2018,TCU,6
2018,Tennessee,3
2018,Texas,10
2018,Texas A&M,7
2018,Texas Southern,16
2018,Texas Tech,3
2018,UCLA,11
2018,UMBC,16
2018,UNC Greensboro,13
2018,Villanova,1
2018,Virginia,1
2018,Virginia Tech,8
2018,West Virginia,5
2018,Wichita State,4
2018,Wright State,14
2018,Xavier,1
2019,Abilene Christian,15
2019,Arizona State,11
2019,Auburn,5
2019,Baylor,9
2019,Belmont,11
2019,Bradley,15
2019,Buffalo,6
2019,Cincinnati,7
2019,Colgate,15
2019,Duke,1
2019,Fairleigh Dickinson,16
2019,Florida,10
2019,Florida State,4
2019,Gardner–Webb,16
2019,Georgia State,14
2019,Gonzaga,1
2019,Houston,3
2019,Iona,16
2019,Iowa,10
2019,Iowa State,6
2019,Kansas,4
2019,Kansas State,4
2019,Kentucky,2
2019,LSU,3
2019,Liberty,12
2019,Louisville,7
2019,Marquette,5
2019,Maryland,6
2019,Michigan,2
2019,Michigan State,2
2019,Minnesota,10
2019,Mississippi State,5
2019,Montana,15
2019,Murray State,12
2019,Nevada,7
2019,New Mexico State,12
2019,North Carolina,1
2019,North Carolina Central,16
2019,North Dakota State,16
2019,Northeastern,13
2019,Northern Kentucky,14
2019,Ohio State,11
2019,Oklahoma,9
2019,Old Dominion,14
2019,Ole Miss,8
2019,Oregon,12
2019,Prairie View A&M,16
2019,Purdue,3
2019,Saint Louis,13
2019,Saint Mary's,11
2019,Seton Hall,10
2019,St. John's,11
2019,Syracuse,8
2019,Temple,11
2019,Tennessee,2
2019,Texas Tech,3
2019,UC Irvine,13
2019,UCF,9
2019,Utah State,8
2019,VCU,8
2019,Vermont,13
2019,Villanova,6
2019,Virginia,1
2019,Virginia Tech,4
2019,Washington,9
2019,Wisconsin,5
2019,Wofford,7
2019,Yale,14
2021,Abilene Christian,14
2021,Alabama,2
2021,Appalachian State,16
2021,Arkansas,3
2021,BYU,6
2021,Baylor,1
2021,Clemson,7
2021,Cleveland State,15
2021,Colgate,14
2021,Colorado,5
2021,Creighton,5
2021,Drake,11
2021,Drexel,16
2021,Eastern Washington,14
2021,Florida,7
2021,Florida State,4
2021,Georgetown,12
2021,Georgia Tech,9
2021,Gonzaga,1
2021,Grand Canyon,15
2021,Hartford,16
2021,Houston,2
2021,Illinois,1
2021,Iona,15
2021,Iowa,2
2021,Kansas,3
2021,LSU,8
2021,Liberty,13
2021,Loyola–Chicago,8
2021,Maryland,10
2021,Michigan,1
2021,Michigan State,11
2021,Missouri,9
2021,Morehead State,14
2021,Mount St. Mary's,16
2021,Norfolk State,16
2021,North Carolina,8
2021,North Texas,13
2021,Ohio,13
2021,Ohio State,2
2021,Oklahoma,8
2021,Oklahoma State,4
2021,Oral Roberts,15
2021,Oregon,7
2021,Oregon State,12
2021,Purdue,4
2021,Rutgers,10
2021,San Diego State,6
2021,St. Bonaventure,9
2021,Syracuse,11
2021,Tennessee,5
2021,Texas,3
2021,Texas Southern,16
2021,Texas Tech,6
2021,UC Santa Barbara,12
2021,UCLA,11
2021,UConn,7
2021,UNC Greensboro,13
2021,USC,6
2021,Utah State,11
2021,VCU,10
2021,Villanova,5
2021,Virginia,4
2021,Virginia Tech,10
2021,West Virginia,3
2021,Wichita State,11
2021,Winthrop,12
2021,Wisconsin,9
2022,Akron,13
2022,Alabama,6
2022,Arizona,1
2022,Arkansas,4
2022,Auburn,2
2022,Baylor,1
2022,Boise State,8
2022,Bryant,16
2022,Cal State Fullerton,15
2022,Chattanooga,13
2022,Colgate,14
2022,Colorado State,6
2022,Connecticut,5
2022,Creighton,9
2022,Davidson,10
2022,Delaware,15
2022,Duke,2
2022,Georgia State,16
2022,Gonzaga,1
2022,Houston,5
2022,Illinois,4
2022,Indiana,12
2022,Iowa,5
2022,Iowa State,11
2022,Jacksonville State,15
2022,Kansas,1
2022,Kentucky,2
2022,LSU,6
2022,Longwood,14
2022,Loyola Chicago,10
2022,Marquette,9
2022,Memphis,9
2022,Miami,10
2022,Michigan,11
2022,Michigan State,7
2022,Montana State,14
2022,Murray State,7
2022,New Mexico State,12
2022,Norfolk State,16
2022,North Carolina,8
2022,Notre Dame,11
2022,Ohio State,7
2022,Providence,4
2022,Purdue,3
2022,Richmond,12
2022,Rutgers,11
2022,Saint Mary's,5
2022,Saint Peter's,15
2022,San Diego State,8
2022,San Francisco,10
2022,Seton Hall,8
2022,South Dakota State,13
2022,TCU,9
2022,Tennessee,3
2022,Texas,6
2022,Texas A&M–Corpus Christi,16
2022,Texas Southern,16
2022,Texas Tech,3
2022,UAB,12
2022,UCLA,4
2022,USC,7
2022,Vermont,13
2022,Villanova,2
2022,Virginia Tech,11
2022,Wisconsin,3
2022,Wright State,16
2022,Wyoming,12
2022,Yale,14
2023,Alabama,1
2023,Arizona,2
2023,Arizona State,11
2023,Arkansas,8
2023,Auburn,9
2023,Baylor,3
2023,Boise State,10
2023,Charleston,12
2023,Colgate,15
2023,Creighton,6
2023,Drake,12
2023,Duke,5
2023,Fairleigh Dickinson,16
2023,Florida Atlantic,9
2023,Furman,13
2023,Gonzaga,3
2023,Grand Canyon,14
