season,year,team,seed,games,wins,final4,champion,exp_wins,pase,exp_src
2002-03,2003,Missouri,6,2,1,0,0,1.1,-0.1,prior_table
2002-03,2003,S_Illinois,11,1,0,0,0,0.6,-0.6,prior_table
2002-03,2003,Holy_Cross,14,1,0,0,0,0.15,-0.15,prior_table
2002-03,2003,Marquette,3,4,3,1,0,1.8,1.2,prior_table
2002-03,2003,Texas,1,5,4,1,0,3.3,0.7,prior_table
2002-03,2003,LSU,8,1,0,0,0,0.7,-0.7,prior_table
2002-03,2003,Purdue,9,2,1,0,0,0.55,0.45,prior_table
2002-03,2003,Colorado,10,1,0,0,0,0.65,-0.65,prior_table
2002-03,2003,Michigan_State,7,3,2,0,0,0.9,1.1,prior_table
2002-03,2003,Florida,2,2,1,0,0,2.35,-1.35,prior_table
2002-03,2003,Sam_Houston,15,1,0,0,0,0.05,-0.05,prior_table
2002-03,2003,Butler,12,3,2,0,0,0.5,1.5,prior_table
2002-03,2003,Miss_St,5,1,0,0,0,1.15,-1.15,prior_table
2002-03,2003,Oklahoma_State,6,2,1,0,0,1.1,-0.1,prior_table
2002-03,2003,Penn,11,1,0,0,0,0.6,-0.6,prior_table
2002-03,2003,Manhattan,14,1,0,0,0,0.15,-0.15,prior_table
2002-03,2003,Syracuse,3,6,6,1,1,1.8,4.2,prior_table
2002-03,2003,Auburn,10,2,1,0,0,0.65,0.35,prior_table
2002-03,2003,Saint_Joe's,7,1,0,0,0,0.9,-0.9,prior_table
2002-03,2003,IUPUI,16,1,0,0,0,0.0,0.0,prior_table
2002-03,2003,Kentucky,1,4,3,0,0,3.3,-0.3,prior_table
2002-03,2003,Oregon,8,1,0,0,0,0.7,-0.7,prior_table
2002-03,2003,Utah,9,2,1,0,0,0.55,0.45,prior_table
2002-03,2003,Alabama,10,1,0,0,0,0.65,-0.65,prior_table
2002-03,2003,Indiana,7,1,1,0,0,0.9,0.1,prior_table
2002-03,2003,Oklahoma,1,3,2,0,0,3.3,-1.3,prior_table
2002-03,2003,Louisville,4,1,0,0,0,1.55,-1.55,prior_table
2003-04,2004,Liberty,16,1,0,0,0,0.0,0.0,prior_table
2003-04,2004,Saint_Joe's,1,4,3,0,0,3.3,-0.3,prior_table
2003-04,2004,Charlotte,9,1,0,0,0,0.55,-0.55,prior_table
2003-04,2004,Texas_Tech,8,2,1,0,0,0.7,0.3,prior_table
2003-04,2004,Florida,5,1,0,0,0,1.15,-1.15,prior_table
2003-04,2004,Manhattan,12,2,1,0,0,0.5,0.5,prior_table
2003-04,2004,VCU,13,1,0,0,0,0.25,-0.25,prior_table
2003-04,2004,Wake_Forest,4,3,2,0,0,1.55,0.45,prior_table
2003-04,2004,Alabama_State,16,1,0,0,0,0.0,0.0,prior_table
2003-04,2004,Duke,1,5,4,1,0,3.3,0.7,prior_table
2003-04,2004,Arizona,9,1,0,0,0,0.55,-0.55,prior_table
2003-04,2004,Seton_Hall,8,2,1,0,0,0.7,0.3,prior_table
2003-04,2004,Air_Force,11,1,0,0,0,0.6,-0.6,prior_table
2003-04,2004,UNC,6,2,1,0,0,1.1,-0.1,prior_table
2003-04,2004,Princeton,14,1,0,0,0,0.15,-0.15,prior_table
2003-04,2004,Texas,3,3,2,0,0,1.8,0.2,prior_table
2003-04,2004,Stanford,1,2,1,0,0,3.3,-2.3,prior_table
2003-04,2004,UTSA,16,1,0,0,0,0.0,0.0,prior_table
2003-04,2004,Alabama,8,4,3,0,0,0.7,2.3,prior_table
2003-04,2004,S_Illinois,9,1,0,0,0,0.55,-0.55,prior_table
2003-04,2004,BYU,12,1,0,0,0,0.5,-0.5,prior_table
2003-04,2004,Syracuse,5,3,2,0,0,1.15,0.85,prior_table
2003-04,2004,Maryland,4,2,1,0,0,1.55,-0.55,prior_table
2003-04,2004,UTEP,13,1,0,0,0,0.25,-0.25,prior_table
2003-04,2004,Dayton,10,1,0,0,0,0.65,-0.65,prior_table
2003-04,2004,DePaul,7,2,1,0,0,0.9,0.1,prior_table
2003-04,2004,UConn,2,6,6,1,1,2.35,3.65,prior_table
2003-04,2004,Vermont,15,1,0,0,0,0.05,-0.05,prior_table
2003-04,2004,Michigan_State,7,1,0,0,0,0.9,-0.9,prior_table
2003-04,2004,Nevada,10,3,2,0,0,0.65,1.35,prior_table
2003-04,2004,Gonzaga,2,2,1,0,0,2.35,-1.35,prior_table
2003-04,2004,Valparaiso,15,1,0,0,0,0.05,-0.05,prior_table
2003-04,2004,Richmond,11,1,0,0,0,0.6,-0.6,prior_table
2003-04,2004,Wisconsin,6,2,1,0,0,1.1,-0.1,prior_table
2003-04,2004,Pitt,3,3,2,0,0,1.8,0.2,prior_table
2003-04,2004,UCF,14,1,0,0,0,0.15,-0.15,prior_table
2003-04,2004,Memphis,7,2,1,0,0,0.9,0.1,prior_table
2003-04,2004,South_Carolina,10,1,0,0,0,0.65,-0.65,prior_table
2003-04,2004,E_Washington,15,1,0,0,0,0.05,-0.05,prior_table
2003-04,2004,Oklahoma_State,2,5,4,1,0,2.35,1.65,prior_table
2003-04,2004,Illinois,5,3,2,0,0,1.15,0.85,prior_table
2003-04,2004,Murray_State,12,1,0,0,0,0.5,-0.5,prior_table
2003-04,2004,Cincinnati,4,2,1,0,0,1.55,-0.55,prior_table
2003-04,2004,ETSU,13,1,0,0,0,0.25,-0.25,prior_table
2003-04,2004,Louisville,10,1,0,0,0,0.65,-0.65,prior_table
2003-04,2004,Xavier,7,4,3,0,0,0.9,2.1,prior_table
2003-04,2004,Miss_St,2,2,1,0,0,2.35,-1.35,prior_table
2003-04,2004,Monmouth,15,1,0,0,0,0.05,-0.05,prior_table
2003-04,2004,Vanderbilt,6,3,2,0,0,1.1,0.9,prior_table
2003-04,2004,W_Michigan,11,1,0,0,0,0.6,-0.6,prior_table
2003-04,2004,Louisiana,14,1,0,0,0,0.15,-0.15,prior_table
2003-04,2004,NC_State,3,2,1,0,0,1.8,-0.8,prior_table
2003-04,2004,Florida_A&M,16,1,0,0,0,0.0,0.0,prior_table
2003-04,2004,Kentucky,1,2,1,0,0,3.3,-2.3,prior_table
2003-04,2004,UAB,9,3,2,0,0,0.55,1.45,prior_table
2003-04,2004,Washington,8,1,0,0,0,0.7,-0.7,prior_table
2003-04,2004,Pacific,12,2,1,0,0,0.5,0.5,prior_table
2003-04,2004,Providence,5,1,0,0,0,1.15,-1.15,prior_table
2003-04,2004,Kansas,4,4,3,0,0,1.55,1.45,prior_table
2003-04,2004,UIC,13,1,0,0,0,0.25,-0.25,prior_table
2003-04,2004,Boston_College,6,2,1,0,0,1.1,-0.1,prior_table
2003-04,2004,Utah,11,1,0,0,0,0.6,-0.6,prior_table
2003-04,2004,Georgia_Tech,3,6,5,1,0,1.8,3.2,prior_table
2003-04,2004,Northern_Iowa,14,1,0,0,0,0.15,-0.15,prior_table
2004-05,2005,Alabama_A&M,16,1,0,0,0,0.0,0.0,prior_table
2004-05,2005,Oakland,16,2,1,0,0,0.0,1.0,prior_table
2004-05,2005,Montana,16,1,0,0,0,0.0,0.0,prior_table
2004-05,2005,Washington,1,3,2,0,0,3.3,-1.3,prior_table
2004-05,2005,Pacific,8,2,1,0,0,0.7,0.3,prior_table
2004-05,2005,Pitt,9,1,0,0,0,0.55,-0.55,prior_table
2004-05,2005,Texas_Tech,6,3,2,0,0,1.1,0.9,prior_table
2004-05,2005,UCLA,11,1,0,0,0,0.6,-0.6,prior_table
2004-05,2005,Gonzaga,3,2,1,0,0,1.8,-0.8,prior_table
2004-05,2005,Winthrop,14,1,0,0,0,0.15,-0.15,prior_table
2004-05,2005,Creighton,10,1,0,0,0,0.65,-0.65,prior_table
2004-05,2005,West_Virginia,7,4,3,0,0,0.9,2.1,prior_table
2004-05,2005,UTEP,11,1,0,0,0,0.6,-0.6,prior_table
2004-05,2005,Utah,6,3,2,0,0,1.1,0.9,prior_table
2004-05,2005,Niagara,14,1,0,0,0,0.15,-0.15,prior_table
2004-05,2005,Oklahoma,3,2,1,0,0,1.8,-0.8,prior_table
2004-05,2005,Cincinnati,7,2,1,0,0,0.9,0.1,prior_table
2004-05,2005,Iowa,10,1,0,0,0,0.65,-0.65,prior_table
2004-05,2005,E_Kentucky,15,1,0,0,0,0.05,-0.05,prior_table
2004-05,2005,Kentucky,2,4,3,0,0,2.35,0.65,prior_table
2004-05,2005,Fair_Dickinson,16,1,0,0,0,0.0,0.0,prior_table
2004-05,2005,Illinois,1,5,4,1,0,3.3,0.7,prior_table
2004-05,2005,Nevada,9,2,1,0,0,0.55,0.45,prior_table
2004-05,2005,Texas,8,1,0,0,0,0.7,-0.7,prior_table
2004-05,2005,Boston_College,4,1,1,0,0,1.55,-0.55,prior_table
2004-05,2005,Penn,13,1,0,0,0,0.25,-0.25,prior_table
2004-05,2005,LSU,6,1,0,0,0,1.1,-1.1,prior_table
2004-05,2005,UAB,11,2,1,0,0,0.6,0.4,prior_table
2004-05,2005,Arizona,3,4,3,0,0,1.8,1.2,prior_table
2004-05,2005,Utah_State,14,1,0,0,0,0.15,-0.15,prior_table
2004-05,2005,G_Washington,12,1,0,0,0,0.5,-0.5,prior_table
2004-05,2005,Georgia_Tech,5,2,1,0,0,1.15,-0.15,prior_table
2004-05,2005,Louisiana,13,1,0,0,0,0.25,-0.25,prior_table
2004-05,2005,Louisville,4,5,4,1,0,1.55,2.45,prior_table
2004-05,2005,UNC,1,6,6,1,1,3.3,2.7,prior_table
2004-05,2005,Iowa_State,9,2,1,0,0,0.55,0.45,prior_table
2004-05,2005,Minnesota,8,1,0,0,0,0.7,-0.7,prior_table
2004-05,2005,New_Mexico,12,1,0,0,0,0.5,-0.5,prior_table
2004-05,2005,Villanova,5,3,2,0,0,1.15,0.85,prior_table
2004-05,2005,Florida,4,2,1,0,0,1.55,-0.55,prior_table
2004-05,2005,Ohio,13,1,0,0,0,0.25,-0.25,prior_table
2004-05,2005,Northern_Iowa,11,1,0,0,0,0.6,-0.6,prior_table
2004-05,2005,Wisconsin,6,4,3,0,0,1.1,1.9,prior_table
2004-05,2005,Bucknell,14,2,1,0,0,0.15,0.85,prior_table
2004-05,2005,Kansas,3,1,0,0,0,1.8,-1.8,prior_table
2004-05,2005,Charlotte,7,1,0,0,0,0.9,-0.9,prior_table
2004-05,2005,NC_State,10,3,2,0,0,0.65,1.35,prior_table
2004-05,2005,UCF,15,1,0,0,0,0.05,-0.05,prior_table
2004-05,2005,UConn,2,2,1,0,0,2.35,-1.35,prior_table
2004-05,2005,Delaware_State,16,1,0,0,0,0.0,0.0,prior_table
2004-05,2005,Duke,1,3,2,0,0,3.3,-1.3,prior_table
2004-05,2005,Miss_St,9,2,1,0,0,0.55,0.45,prior_table
2004-05,2005,Stanford,8,1,0,0,0,0.7,-0.7,prior_table
2004-05,2005,Michigan_State,5,5,4,1,0,1.15,2.85,prior_table
2004-05,2005,Old_Dominion,12,1,0,0,0,0.5,-0.5,prior_table
2004-05,2005,Syracuse,4,1,0,0,0,1.55,-1.55,prior_table
2004-05,2005,Vermont,13,2,1,0,0,0.25,0.75,prior_table
2004-05,2005,S_Illinois,7,2,1,0,0,0.9,0.1,prior_table
2004-05,2005,Saint_Mary's,10,1,0,0,0,0.65,-0.65,prior_table
2004-05,2005,Oklahoma_State,2,3,2,0,0,2.35,-0.35,prior_table
2004-05,2005,SE_Louisiana,15,1,0,0,0,0.05,-0.05,prior_table
2004-05,2005,Wake_Forest,2,1,0,0,0,2.35,-2.35,prior_table
2005-06,2006,Indiana,6,2,1,0,0,1.2727,-0.2727,prior_3y
2005-06,2006,San_Diego_State,11,1,0,0,0,0.1818,-0.1818,prior_3y
2005-06,2006,Gonzaga,3,3,2,0,0,2.3636,-0.3636,prior_3y
2005-06,2006,Xavier,14,1,0,0,0,0.0909,-0.0909,prior_3y
2005-06,2006,Alabama,10,2,1,0,0,0.5,0.5,prior_3y
2005-06,2006,Marquette,7,1,0,0,0,1.0833,-1.0833,prior_3y
2005-06,2006,Belmont,15,1,0,0,0,0.0,0.0,prior_3y
2005-06,2006,UCLA,2,6,5,1,0,2.4,2.6,prior_3y
2005-06,2006,Utah_State,12,1,0,0,0,0.3636,-0.3636,prior_3y
2005-06,2006,Washington,5,3,2,0,0,1.5455,0.4545,prior_3y
2005-06,2006,Air_Force,13,1,0,0,0,0.1818,-0.1818,prior_3y
2005-06,2006,Illinois,4,2,1,0,0,1.25,-0.25,prior_3y
2005-06,2006,Seton_Hall,10,1,0,0,0,0.5,-0.5,prior_3y
2005-06,2006,Wichita_State,7,3,2,0,0,1.0833,0.9167,prior_3y
2005-06,2006,Tennessee,2,2,1,0,0,2.4,-1.4,prior_3y
2005-06,2006,Winthrop,15,1,0,0,0,0.0,0.0,prior_3y
2005-06,2006,Montana,12,2,1,0,0,0.3636,0.6364,prior_3y
2005-06,2006,Nevada,5,1,0,0,0,1.5455,-1.5455,prior_3y
2005-06,2006,Boston_College,4,3,2,0,0,1.25,0.75,prior_3y
2005-06,2006,Pacific,13,1,0,0,0,0.1818,-0.1818,prior_3y
2005-06,2006,Milwaukee,11,2,1,0,0,0.1818,0.8182,prior_3y
2005-06,2006,Oklahoma,6,1,0,0,0,1.2727,-1.2727,prior_3y
2005-06,2006,Florida,3,6,6,1,1,2.3636,3.6364,prior_3y
2005-06,2006,South_Alabama,14,1,0,0,0,0.0909,-0.0909,prior_3y
2005-06,2006,Duke,1,3,2,0,0,2.9167,-0.9167,prior_3y
2005-06,2006,Southern,16,1,0,0,0,0.1538,-0.1538,prior_3y
2005-06,2006,G_Washington,8,2,1,0,0,0.5833,0.4167,prior_3y
2005-06,2006,UNC_Wilmington,9,1,0,0,0,0.6667,-0.6667,prior_3y
2005-06,2006,Syracuse,5,1,0,0,0,1.5455,-1.5455,prior_3y
2005-06,2006,Texas_A&M,12,2,1,0,0,0.3636,0.6364,prior_3y
2005-06,2006,Iona,13,1,0,0,0,0.1818,-0.1818,prior_3y
2005-06,2006,LSU,4,5,4,1,0,1.25,2.75,prior_3y
2005-06,2006,Memphis,1,4,3,0,0,2.9167,0.0833,prior_3y
2005-06,2006,Oral_Roberts,16,1,0,0,0,0.1538,-0.1538,prior_3y
2005-06,2006,Arkansas,8,1,0,0,0,0.5833,-0.5833,prior_3y
2005-06,2006,Bucknell,9,2,1,0,0,0.6667,0.3333,prior_3y
2005-06,2006,Kent_State,12,1,0,0,0,0.3636,-0.3636,prior_3y
2005-06,2006,Pitt,5,2,1,0,0,1.5455,-0.5455,prior_3y
2005-06,2006,Bradley,13,3,2,0,0,0.1818,1.8182,prior_3y
2005-06,2006,Kansas,4,1,0,0,0,1.25,-1.25,prior_3y
2005-06,2006,Albany,16,1,0,0,0,0.1538,-0.1538,prior_3y
2005-06,2006,UConn,1,4,3,0,0,2.9167,0.0833,prior_3y
2005-06,2006,Kentucky,8,2,1,0,0,0.5833,0.4167,prior_3y
2005-06,2006,UAB,9,1,0,0,0,0.6667,-0.6667,prior_3y
2005-06,2006,George_Mason,11,5,4,1,0,0.1818,3.8182,prior_3y
2005-06,2006,Michigan_State,6,1,0,0,0,1.2727,-1.2727,prior_3y
2005-06,2006,Murray_State,14,1,0,0,0,0.0909,-0.0909,prior_3y
2005-06,2006,UNC,3,2,1,0,0,2.3636,-1.3636,prior_3y
2005-06,2006,Monmouth,16,1,0,0,0,0.1538,-0.1538,prior_3y
2005-06,2006,Villanova,1,4,3,0,0,2.9167,0.0833,prior_3y
2005-06,2006,Arizona,8,2,1,0,0,0.5833,0.4167,prior_3y
2005-06,2006,Wisconsin,9,1,0,0,0,0.6667,-0.6667,prior_3y
2005-06,2006,Georgetown,7,3,2,0,0,1.0833,0.9167,prior_3y
2005-06,2006,Northern_Iowa,10,1,0,0,0,0.5,-0.5,prior_3y
2005-06,2006,Davidson,15,1,0,0,0,0.0,0.0,prior_3y
2005-06,2006,Ohio_State,2,2,1,0,0,2.4,-1.4,prior_3y
2005-06,2006,S_Illinois,11,1,0,0,0,0.1818,-0.1818,prior_3y
2005-06,2006,West_Virginia,6,3,2,0,0,1.2727,0.7273,prior_3y
2005-06,2006,Iowa,3,1,0,0,0,2.3636,-2.3636,prior_3y
2005-06,2006,Northwestern_St,14,2,1,0,0,0.0909,0.9091,prior_3y
2005-06,2006,Cal,7,1,0,0,0,1.0833,-1.0833,prior_3y
2005-06,2006,NC_State,10,2,1,0,0,0.5,0.5,prior_3y
2005-06,2006,Penn,15,1,0,0,0,0.0,0.0,prior_3y
2005-06,2006,Texas,2,4,3,0,0,2.4,0.6,prior_3y
2006-07,2007,Florida_A&M,16,1,0,0,0,0.1176,-0.1176,prior_4y
2006-07,2007,Niagara,16,2,1,0,0,0.1176,0.8824,prior_4y
2006-07,2007,Duke,6,1,0,0,0,1.1333,-1.1333,prior_4y
2006-07,2007,VCU,11,2,1,0,0,0.4667,0.5333,prior_4y
2006-07,2007,Pitt,3,3,2,0,0,2.3333,-0.3333,prior_4y
2006-07,2007,Wright_State,14,1,0,0,0,0.1333,-0.1333,prior_4y
2006-07,2007,Gonzaga,10,1,0,0,0,0.5,-0.5,prior_4y
2006-07,2007,Indiana,7,2,1,0,0,1.0625,-0.0625,prior_4y
2006-07,2007,UCLA,2,5,4,1,0,2.4286,1.5714,prior_4y
2006-07,2007,Weber_State,15,1,0,0,0,0.0,0.0,prior_4y
2006-07,2007,Marquette,8,1,0,0,0,0.625,-0.625,prior_4y
2006-07,2007,Michigan_State,9,2,1,0,0,0.5625,0.4375,prior_4y
2006-07,2007,Oral_Roberts,14,1,0,0,0,0.1333,-0.1333,prior_4y
2006-07,2007,Washington_St,3,2,1,0,0,2.3333,-1.3333,prior_4y
2006-07,2007,Boston_College,7,2,1,0,0,1.0625,-0.0625,prior_4y
2006-07,2007,Texas_Tech,10,1,0,0,0,0.5,-0.5,prior_4y
2006-07,2007,Belmont,15,1,0,0,0,0.0,0.0,prior_4y
2006-07,2007,Georgetown,2,5,4,1,0,2.4286,1.5714,prior_4y
2006-07,2007,BYU,8,1,0,0,0,0.625,-0.625,prior_4y
2006-07,2007,Xavier,9,2,1,0,0,0.5625,0.4375,prior_4y
2006-07,2007,Louisville,6,2,1,0,0,1.1333,-0.1333,prior_4y
2006-07,2007,Stanford,11,1,0,0,0,0.4667,-0.4667,prior_4y
2006-07,2007,Penn,14,1,0,0,0,0.1333,-0.1333,prior_4y
2006-07,2007,Texas_A&M,3,3,2,0,0,2.3333,-0.3333,prior_4y
2006-07,2007,Butler,5,3,2,0,0,1.3333,0.6667,prior_4y
2006-07,2007,Old_Dominion,12,1,0,0,0,0.4,-0.4,prior_4y
2006-07,2007,Davidson,13,1,0,0,0,0.2667,-0.2667,prior_4y
2006-07,2007,Maryland,4,2,1,0,0,1.375,-0.375,prior_4y
2006-07,2007,Kansas,1,3,2,0,0,2.875,-0.875,prior_4y
2006-07,2007,Kentucky,8,2,1,0,0,0.625,0.375,prior_4y
2006-07,2007,Villanova,9,1,0,0,0,0.5625,-0.5625,prior_4y
2006-07,2007,Illinois,12,1,0,0,0,0.4,-0.4,prior_4y
2006-07,2007,Virginia_Tech,5,1,1,0,0,1.3333,-0.3333,prior_4y
2006-07,2007,New_Mexico_St,13,1,0,0,0,0.2667,-0.2667,prior_4y
2006-07,2007,Texas,4,1,1,0,0,1.375,-0.375,prior_4y
2006-07,2007,Long_Beach_State,12,1,0,0,0,0.4,-0.4,prior_4y
2006-07,2007,Tennessee,5,3,2,0,0,1.3333,0.6667,prior_4y
2006-07,2007,Albany,13,1,0,0,0,0.2667,-0.2667,prior_4y
2006-07,2007,UVA,4,2,1,0,0,1.375,-0.375,prior_4y
2006-07,2007,Creighton,10,1,0,0,0,0.5,-0.5,prior_4y
2006-07,2007,Nevada,7,2,1,0,0,1.0625,-0.0625,prior_4y
2006-07,2007,Memphis,2,4,3,0,0,2.4286,0.5714,prior_4y
2006-07,2007,North_Texas,15,1,0,0,0,0.0,0.0,prior_4y
2006-07,2007,Florida,1,6,6,1,1,2.875,3.125,prior_4y
2006-07,2007,Jackson_State,16,1,0,0,0,0.1176,-0.1176,prior_4y
2006-07,2007,Arizona,8,1,0,0,0,0.625,-0.625,prior_4y
2006-07,2007,Purdue,9,2,1,0,0,0.5625,0.4375,prior_4y
2006-07,2007,Notre_Dame,6,1,0,0,0,1.1333,-1.1333,prior_4y
2006-07,2007,Winthrop,11,2,1,0,0,0.4667,0.5333,prior_4y
2006-07,2007,Georgia_Tech,10,1,0,0,0,0.5,-0.5,prior_4y
2006-07,2007,UNLV,7,3,2,0,0,1.0625,0.9375,prior_4y
2006-07,2007,UNC,1,2,1,0,0,2.875,-1.875,prior_4y
2006-07,2007,Vanderbilt,6,2,1,0,0,1.1333,-0.1333,prior_4y
2006-07,2007,Ohio_State,1,5,4,1,0,2.875,1.125,prior_4y
2006-07,2007,Oregon,3,3,2,0,0,2.3333,-0.3333,prior_4y
2006-07,2007,Wisconsin,2,1,0,0,0,2.4286,-2.4286,prior_4y
2007-08,2008,Coppin_State,16,1,0,0,0,0.15,-0.15,prior_5y
2007-08,2008,Mt_St_Mary's,16,2,1,0,0,0.15,0.85,prior_5y
2007-08,2008,Kansas,1,6,6,1,1,2.95,3.05,prior_5y
2007-08,2008,Portland_State,16,1,0,0,0,0.15,-0.15,prior_5y
2007-08,2008,Kent_State,9,1,0,0,0,0.6,-0.6,prior_5y
2007-08,2008,UNLV,8,2,1,0,0,0.55,0.45,prior_5y
2007-08,2008,Kansas_State,11,2,1,0,0,0.5,0.5,prior_5y
2007-08,2008,USC,6,1,0,0,0,1.0,-1.0,prior_5y
2007-08,2008,CSU_Fullerton,14,1,0,0,0,0.1111,-0.1111,prior_5y
2007-08,2008,Wisconsin,3,3,2,0,0,2.2105,-0.2105,prior_5y
2007-08,2008,Michigan_State,5,3,2,0,0,1.3889,0.6111,prior_5y
2007-08,2008,Temple,12,1,0,0,0,0.3333,-0.3333,prior_5y
2007-08,2008,Oral_Roberts,13,1,0,0,0,0.2222,-0.2222,prior_5y
2007-08,2008,Pitt,4,2,1,0,0,1.3158,-0.3158,prior_5y
2007-08,2008,Kentucky,11,1,0,0,0,0.5,-0.5,prior_5y
2007-08,2008,Marquette,6,2,1,0,0,1.0,0.0,prior_5y
2007-08,2008,Cornell,14,1,0,0,0,0.1111,-0.1111,prior_5y
2007-08,2008,Stanford,3,3,2,0,0,2.2105,-0.2105,prior_5y
2007-08,2008,BYU,8,1,0,0,0,0.55,-0.55,prior_5y
2007-08,2008,Texas_A&M,9,2,1,0,0,0.6,0.4,prior_5y
2007-08,2008,Baylor,11,1,0,0,0,0.5,-0.5,prior_5y
2007-08,2008,Purdue,6,2,1,0,0,1.0,0.0,prior_5y
2007-08,2008,Georgia,14,1,0,0,0,0.1111,-0.1111,prior_5y
2007-08,2008,Xavier,3,4,3,0,0,2.2105,0.7895,prior_5y
2007-08,2008,Arizona,10,1,0,0,0,0.4,-0.4,prior_5y
2007-08,2008,West_Virginia,7,3,2,0,0,1.1,0.9,prior_5y
2007-08,2008,Belmont,15,1,0,0,0,0.0,0.0,prior_5y
2007-08,2008,Duke,2,2,1,0,0,2.5,-1.5,prior_5y
2007-08,2008,George_Mason,12,1,0,0,0,0.3333,-0.3333,prior_5y
2007-08,2008,Notre_Dame,5,2,1,0,0,1.3889,-0.3889,prior_5y
2007-08,2008,Washington_St,4,3,2,0,0,1.3158,0.6842,prior_5y
2007-08,2008,Winthrop,13,1,0,0,0,0.2222,-0.2222,prior_5y
2007-08,2008,Clemson,5,1,0,0,0,1.3889,-1.3889,prior_5y
2007-08,2008,Villanova,12,3,2,0,0,0.3333,1.6667,prior_5y
2007-08,2008,Siena,13,2,1,0,0,0.2222,0.7778,prior_5y
2007-08,2008,Vanderbilt,4,1,0,0,0,1.3158,-1.3158,prior_5y
2007-08,2008,Davidson,10,4,3,0,0,0.4,2.6,prior_5y
2007-08,2008,Gonzaga,7,1,0,0,0,1.1,-1.1,prior_5y
2007-08,2008,Georgetown,2,2,1,0,0,2.5,-1.5,prior_5y
2007-08,2008,UMBC,15,1,0,0,0,0.0,0.0,prior_5y
2007-08,2008,Memphis,1,6,5,1,0,2.95,2.05,prior_5y
2007-08,2008,UT_Arlington,16,1,0,0,0,0.15,-0.15,prior_5y
2007-08,2008,Miss_St,8,2,1,0,0,0.55,0.45,prior_5y
2007-08,2008,Oregon,9,1,0,0,0,0.6,-0.6,prior_5y
2007-08,2008,Miami,7,2,1,0,0,1.1,-0.1,prior_5y
2007-08,2008,Saint_Mary's,10,1,0,0,0,0.4,-0.4,prior_5y
2007-08,2008,Austin_Peay,15,1,0,0,0,0.0,0.0,prior_5y
2007-08,2008,Texas,2,4,3,0,0,2.5,0.5,prior_5y
2007-08,2008,Drake,5,1,0,0,0,1.3889,-1.3889,prior_5y
2007-08,2008,W_Kentucky,12,3,2,0,0,0.3333,1.6667,prior_5y
2007-08,2008,San_Diego,13,2,1,0,0,0.2222,0.7778,prior_5y
2007-08,2008,UConn,4,1,0,0,0,1.3158,-1.3158,prior_5y
2007-08,2008,UNC,1,5,4,1,0,2.95,1.05,prior_5y
2007-08,2008,Arkansas,9,2,1,0,0,0.6,0.4,prior_5y
2007-08,2008,Indiana,8,1,0,0,0,0.55,-0.55,prior_5y
2007-08,2008,Oklahoma,6,2,1,0,0,1.0,0.0,prior_5y
2007-08,2008,Saint_Joe's,11,1,0,0,0,0.5,-0.5,prior_5y
2007-08,2008,Boise_State,14,1,0,0,0,0.1111,-0.1111,prior_5y
2007-08,2008,Louisville,3,4,3,0,0,2.2105,0.7895,prior_5y
2007-08,2008,Butler,7,2,1,0,0,1.1,-0.1,prior_5y
