pid,gt_class_pct,gt_days_above10,gt_last30_ratio,gt_peak_ratio,gt_ratio,gt_topic,gt_trend,gt_zero_share,misc_birth_month,misc_birth_q,misc_born_usa,misc_prep,prog_prev_hit_rate,prog_prev_mean_war5,prog_prev_n,rsci_avg,rsci_best,rsci_chg,rsci_dev,rsci_frac_ranked,rsci_hs_height_in,rsci_hs_pos,rsci_hs_to_pro,rsci_n_ranked,rsci_n_services,rsci_prep_5th,rsci_range,rsci_rank,rsci_std,rsci_top100,rsci_total_norm,rsci_worst,rsci_years_to_draft,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span,ts_coach_prev_hit_rate,ts_coach_prev_mean_war5,ts_coach_prev_n,ts_conf_champ,ts_in_ncaa,ts_ncaa_round,ts_win_pct,tv_adjoe,tv_adrtg,tv_age_exact,tv_ast_pct,tv_ast_tov,tv_birth_month,tv_bpm,tv_bpm_is_peak,tv_conf_tier,tv_d_adjoe,tv_d_adrtg,tv_d_ast_pct,tv_d_bpm,tv_d_efg,tv_d_ftr,tv_d_min_per,tv_d_ortg,tv_d_ts,tv_d_usg,tv_dbpm,tv_dgbpm,tv_dporpag,tv_drb,tv_drtg,tv_dunk_share,tv_dunks_pg,tv_efg,tv_first_bpm,tv_ftr,tv_gap,tv_gbpm,tv_gp,tv_home_intl,tv_home_state_code,tv_ht_growth,tv_jersey,tv_mates_best_bpm,tv_mates_bpm_sum,tv_mates_drafted,tv_mid_pct,tv_mid_share,tv_min_per,tv_mp,tv_obpm,tv_ogbpm,tv_orb,tv_ortg,tv_pfr,tv_porpag,tv_pts,tv_rec_rank,tv_rim_pct,tv_rim_share,tv_role,tv_seasons,tv_slope_bpm,tv_star_mate_minshare,tv_stops,tv_team_adjde,tv_team_adjoe,tv_team_barthag,tv_team_losses,tv_team_ncsos,tv_team_rank,tv_team_sos,tv_team_wins,tv_three_share,tv_to_pct,tv_ts,tv_usg,tv_yr,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words,wp_created_days_before,wp_editors_90d,wp_editors_pre,wp_exists,wp_revs_365d,wp_revs_90d,wp_revs_pre,wp_size_pre
P572a4194e6,,,,,,,,,2,1,1,0,,,0,6.0,3.0,-2.0,,0.75,81,3,0,6,8,0,5.0,18,1.57,1,0.8129,8.0,2,0.495,-0.321,0.007,0.133,0.021,6.7,2.187,1.584,0.462,31.0,1,25.7,19.051,6.7,2,1,6.7,2.187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,3,16.575,0,0.0,0,0.0,1,5.525,0,0.0,0,0.0,0,0.0,1,5.525,0,0.0,0,0.0,,0,0,0,0.0,0,1286,0.0,0.25,0,0.0,181,93,4,6,1,10,6,10,1286
Pcb4360a784,,,,,,,,,3,1,1,0,,,0,,40.0,6.0,,1.0,81,5,0,4,4,0,24.0,51,8.75,1,0.4912,64.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.264,0,0.0,0,0.0,,0,0,0,0.0,0,803,0.0,0.25,0,0.0,121,11,3,3,1,11,11,11,803
P5afd5b991d,,,,,,,,,12,4,1,0,,,0,,38.0,-5.0,,1.0,76,1,0,4,4,0,18.0,48,6.98,1,0.5163,56.0,3,0.68,-0.105,0.025,-0.03,-0.11,-0.2,-1.514,0.447,0.006,39.0,0,33.7,13.353,6.6,3,1,3.3,2.492,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Pff47b96114,,,,,,,,,4,2,1,0,,,0,13.0,6.0,9.0,10.6,0.833,83,5,1,5,6,0,26.0,10,9.5,1,0.8869,32.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P2f15d5867f,,,,,,,,,10,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P8a3b7b6860,,,,,,,,,9,3,1,0,,,0,,6.0,6.0,,1.0,80,,0,4,4,0,9.0,9,3.24,1,0.9123,15.0,3,0.54,-0.152,0.104,0.0,0.069,-2.1,4.573,2.166,-0.132,37.0,1,26.8,23.507,-1.2,3,1,-0.6,4.425,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.968,0,0.0,0,0.0,0,0.0,1,4,15.873,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.968,0,0.0,1,3.968,,0,1,0,0.0,0,2106,0.0,0.25,0,0.0,252,81,8,8,1,12,12,12,2106
P9f246cdbe1,,,,,,,,,3,1,1,0,,,0,,4.0,4.0,,1.0,76,,0,4,4,0,4.0,4,1.48,1,0.9499,8.0,3,1.278,0.185,0.01,0.015,-0.026,-6.1,-0.261,-1.005,-0.218,33.0,0,25.9,22.239,-4.0,3,1,-2.0,0.886,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0,1,15.625,0,499,0.0,0.0,0,0.0,64,76,2,2,1,9,9,9,499
Pf4d4553b6f,,,,,,,,,7,3,1,0,,,0,,22.0,0.0,,1.0,79,2,0,4,4,0,4.0,18,1.64,1,0.7794,26.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Pc295aab61a,,,,,,,,,12,4,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P81f3558def,,,,,,,,,7,3,1,0,,,,,1.0,7.0,,0.667,79,3,1,4,6,0,1.0,16,0.43,1,0.8061,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P959d20dcac,,,,,,,,,5,2,1,0,,,0,,3.0,-1.0,,1.0,77,,0,6,6,0,11.0,7,3.27,1,0.9378,14.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P9cbbbfe0cc,,,,,,,,,11,4,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Pa4dad52ff4,,,,,,,,,4,2,1,0,,,0,,18.0,-2.0,,0.75,76,1,0,3,4,1,22.0,46,9.74,1,0.5213,40.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P311b5f6b41,,,,,,,,,6,2,0,0,,,0,,57.0,-4.0,,0.75,79,3,0,3,4,1,10.0,71,4.11,1,0.2957,67.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P6f59c256f3,,,,,,,,,5,2,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P5ea12f1777,,,,,,,,,7,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P17786d3599,,,,,,,,,8,3,1,0,,,0,,19.0,9.0,,1.0,80,4,0,6,6,0,42.0,32,14.92,1,0.637,61.0,4,-0.719,0.452,0.043,0.4,-0.036,2.8,0.423,0.143,0.265,33.0,1,31.4,17.541,10.5,4,1,2.98,1.375,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Pd11ab06c36,,,,,,,,,6,2,0,0,,,0,19.0,12.0,21.0,,0.875,80,4,0,7,8,0,12.0,14,4.47,1,0.82,24.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P3e3a854ff5,,,,,,,,,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P8c537f5a4d,,,,,,,,,8,3,1,0,,,0,,15.0,1.0,,1.0,81,4,0,6,6,0,15.0,20,4.89,1,0.8134,30.0,4,0.148,-0.361,0.02,0.104,0.005,1.6,1.71,1.307,-0.361,26.0,0,34.3,21.306,19.0,4,1,6.53,0.45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P13a7a5112c,,,,,,,,,4,2,1,0,,,0,,59.0,-8.0,,0.833,72,,0,5,6,0,22.0,69,7.65,1,0.284,81.0,4,-0.845,0.003,0.052,0.089,0.115,-0.7,2.825,-0.392,0.02,36.0,1,31.3,21.163,1.3,4,1,1.01,1.761,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Pdb057d444b,,,,,,,,,9,3,1,0,,,0,,29.0,-6.0,,1.0,75,2,0,6,6,0,18.0,29,5.9,1,0.6739,47.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.925,0,0.0,0,0.0,0,0.0,,0,0,1,14.925,0,609,0.0,0.0,0,0.0,67,164,3,6,1,6,3,6,609
P690d8b352a,,,,,,,,,10,4,1,0,,,0,15.0,10.0,1.0,,0.875,80,4,0,7,8,0,16.0,12,4.59,1,0.8557,26.0,2,0.24,-0.24,0.063,0.199,-0.006,-1.4,5.37,2.139,0.137,30.0,1,33.6,18.536,-1.4,2,1,-1.4,5.37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P19de9513b3,,,,,,,,,9,3,1,0,,,,16.0,10.0,1.0,6.8,0.833,78,2,1,5,6,0,17.0,12,6.09,1,0.8545,27.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Pc6a39f466a,,,,,,,,,11,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,4.8,12.75,0.0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Pd382320a3c,,,,,,,,,7,3,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Peb2d46202e,,,,,,,,,8,3,1,0,,,0,,32.0,7.0,,1.0,73,1,0,6,6,0,39.0,40,13.22,1,0.5832,71.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P83f985b4bd,,,,,,,,,1,1,1,0,,,0,15.0,10.0,-4.0,,0.875,77,2,0,7,8,0,10.0,11,3.7,1,0.8643,20.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Pce1d0d3699,,,,,,,,,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P01bc9a886e,,,,,,,,,9,3,1,0,,,0,33.0,22.0,-2.0,,0.875,81,5,0,7,8,0,21.0,29,7.5,1,0.6757,43.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P6b0e9b0b2a,,,,,,,,,11,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P11475d8eed,,,,,,,,,9,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
