source,name,gain,fold_wins,passed,delta
r7/PANEL5mdata2_runs.json,window 2000 + gt + rsci,-0.0285,3,False,"{""gt"": 1, ""rsci"": 1, ""win"": 2000}"
r7/PANEL5mdata_runs.json,attention wp,-0.0014,4,False,"{""wp"": 1}"
r7/PANEL5mdata_runs.json,text txt,-0.0078,2,False,"{""txt"": 1}"
r7/PANEL5mdata_runs.json,trajectory traj,0.0028,2,False,"{""traj"": 1}"
r7/PANEL5mdata_runs.json,torvik tv,-0.0118,2,False,"{""tv"": 1}"
r7/PANEL5mdata_runs.json,mock momentum,-0.0004,2,False,"{""mock"": 1}"
r7/PANEL5mdata_runs.json,program pipeline,-0.0022,2,False,"{""prog"": 1}"
r7/PANEL5mdata_runs.json,misc birth/prep/home,-0.0109,3,False,"{""misc"": 1}"
r7/PANEL5mdata_runs.json,tv + traj,-0.0041,4,False,"{""traj"": 1, ""tv"": 1}"
r7/PANEL5mdata_runs.json,txt + wp,-0.0092,2,False,"{""txt"": 1, ""wp"": 1}"
r7/PANEL5mdata_runs.json,tv + traj + prog,-0.0068,3,False,"{""prog"": 1, ""traj"": 1, ""tv"": 1}"
r7/PANEL5mdata_runs.json,all blocks,-0.012,2,False,"{""misc"": 1, ""mock"": 1, ""prog"": 1, ""traj"": 1, ""tv"": 1, ""txt"": 1, ""wp"": 1}"
r7/PANEL5mdata_runs.json,all blocks + topw1,-0.0133,2,False,"{""misc"": 1, ""mock"": 1, ""prog"": 1, ""topw"": 1, ""traj"": 1, ""tv"": 1, ""txt"": 1, ""wp"": 1}"
r7/PANEL5mdata_runs.json,window 2007,0.0,0,False,"{""win"": 2007}"
r7/PANEL5mdata_runs.json,window 2003,-0.0296,1,False,"{""win"": 2003}"
r7/PANEL5mdata_runs.json,window 2003 + tv + traj,-0.0211,1,False,"{""traj"": 1, ""tv"": 1, ""win"": 2003}"
r7/PANEL5mdata_runs.json,lightgbm member,-0.0087,3,False,"{""lgbm"": 1}"
r7/PANEL5mdata_runs.json,extratrees member,-0.0056,1,False,"{""et"": 1}"
r7/PANEL5mdata_runs.json,lgbm + et members,-0.0023,3,False,"{""et"": 1, ""lgbm"": 1}"
r7/PANEL5mdata_runs.json,teamseason ts,-0.0026,3,False,"{""ts"": 1}"
r7/PANEL5mdata_runs.json,tv (with team strength) + ts,-0.0064,2,False,"{""ts"": 1, ""tv"": 1}"
r7/PANEL5mdata_runs.json,tv + traj + ts,-0.0047,2,False,"{""traj"": 1, ""ts"": 1, ""tv"": 1}"
r7/PANEL5mdata_runs.json,tv + ts + prog,-0.0145,3,False,"{""prog"": 1, ""ts"": 1, ""tv"": 1}"
r7/PANEL5mfix_runs.json,undrafted w .5,-0.0,3,False,"{""undraft_w"": 0.5}"
r7/PANEL5mfix_runs.json,undrafted w .25,-0.0036,1,False,"{""undraft_w"": 0.25}"
r7/PANEL5mfix_runs.json,beat-the-pick b1,-0.1592,0,False,"{""beatpick"": 1}"
r7/PANEL5mfix_runs.json,beat-the-pick b.5,-0.1789,0,False,"{""beatpick"": 1, ""mkt_beta"": 0.5}"
r7/PANEL5mfix_runs.json,beat-the-pick b.3,-0.2301,0,False,"{""beatpick"": 1, ""mkt_beta"": 0.3}"
r7/PANEL5mfix_runs.json,beat-consensus b.5,-0.1822,0,False,"{""consres"": 1, ""mkt_beta"": 0.5}"
r7/PANEL5mfix_runs.json,beat-consensus b.3,-0.2339,0,False,"{""consres"": 1, ""mkt_beta"": 0.3}"
r7/PANEL5mfix_runs.json,beatpick b.5 + topw1,-0.1819,0,False,"{""beatpick"": 1, ""mkt_beta"": 0.5, ""topw"": 1}"
r7/PANEL5mfix_runs.json,undrafted .5 + recency .5 + topw1,-0.0087,2,False,"{""recency"": 0.5, ""topw"": 1, ""undraft_w"": 0.5}"
r7/PANEL5mfix_runs.json,cons_unc .5 + subspace,-0.0009,3,False,"{""cons_unc"": 0.5, ""subspace"": 1}"
r7/PANEL5mfix_runs.json,subspace + mono_prod,0.007,3,False,"{""mono_prod"": 1, ""subspace"": 1}"
r7/PANEL5mfull_runs.json,recency .5,-0.0018,1,False,"{""recency"": 0.5}"
r7/PANEL5mfull_runs.json,recency 1.0,-0.0035,2,False,"{""recency"": 1.0}"
r7/PANEL5mfull_runs.json,undrafted w .5,-0.0042,2,False,"{""undraft_w"": 0.5}"
r7/PANEL5mfull_runs.json,undrafted w .25,-0.0056,3,False,"{""undraft_w"": 0.25}"
r7/PANEL5mfull_runs.json,beat-the-pick b.5,-0.1818,0,False,"{""beatpick"": 1, ""mkt_beta"": 0.5}"
r7/PANEL5mfull_runs.json,beat-consensus b.5,-0.1825,0,False,"{""consres"": 1, ""mkt_beta"": 0.5}"
r7/PANEL5mfull_runs.json,ndcg ranking objective,-0.0133,2,False,"{""xgb_obj"": ""ndcg""}"
r7/PANEL5mfull_runs.json,path split col/intl,0.0038,3,False,"{""pathsplit"": 1}"
r7/PANEL5mfull_runs.json,uncertainty-gated consensus .5,0.0,2,False,"{""cons_unc"": 0.5}"
r7/PANEL5mfull_runs.json,uncertainty-gated consensus 1,-0.0005,2,False,"{""cons_unc"": 1.0}"
r7/PANEL5mfull_runs.json,icl era window 5,0.0005,3,False,"{""icl_era"": 5}"
r7/PANEL5mfull_runs.json,production monotones,0.0015,4,False,"{""mono_prod"": 1}"
r7/PANEL5mfull_runs.json,random subspace bags,0.0041,4,False,"{""subspace"": 1}"
r7/PANEL5mfull_runs.json,star .6 top15%,-0.0439,0,False,"{""star"": 0.6}"
r7/PANEL5mfull_runs.json,star .3 top25%,-0.0122,2,False,"{""star"": 0.3, ""star_q"": 0.75}"
r7/PANEL5mfull_runs.json,star .3 top10%,-0.0128,2,False,"{""star"": 0.3, ""star_q"": 0.9}"
r7/PANEL5mfull_runs.json,topw 2,-0.0,4,False,"{""topw"": 2}"
r7/PANEL5mfull_runs.json,risk q75,-0.0046,1,False,"{""risk"": ""q75""}"
r7/PANEL5mfull_runs.json,risk mix q25/q75,-0.0009,1,False,"{""risk"": ""mix""}"
r7/PANEL5mfull_runs.json,market features,0.0032,3,False,"{""fx"": ""shoot+prod+market""}"
r7/PANEL5mfull_runs.json,topw1 + recency .5,-0.0003,2,False,"{""recency"": 0.5, ""topw"": 1}"
r7/PANEL5mfull_runs.json,beatpick b.5 + topw1,-0.1795,0,False,"{""beatpick"": 1, ""mkt_beta"": 0.5, ""topw"": 1}"
r7/PANEL5mfull_runs.json,undrafted .5 + recency .5 + topw1,-0.0035,2,False,"{""recency"": 0.5, ""topw"": 1, ""undraft_w"": 0.5}"
r7/PANEL5mfull_runs.json,pathsplit + icl era 5,0.0042,3,False,"{""icl_era"": 5, ""pathsplit"": 1}"
r7/PANEL5mfull_runs.json,cons_unc .5 + subspace,-0.001,2,False,"{""cons_unc"": 0.5, ""subspace"": 1}"
r7/PANEL5mpair_runs.json,pairwise member,-0.0039,2,False,"{""pair"": 1}"
r7/PANEL5mpair_runs.json,pairwise + covw,-0.0039,2,False,"{""covw"": 1, ""pair"": 1}"
r7/PANEL5mpair_runs.json,pairwise + meta ridge,-0.0127,2,False,"{""meta"": ""ridge"", ""pair"": 1}"
r7/PANEL5mpair_runs.json,pairwise + meta nnls,-0.0115,0,False,"{""meta"": ""nnls"", ""pair"": 1}"
r7/PANEL5mpair_runs.json,pairwise + cons .1,-0.0044,3,False,"{""cons"": 0.1, ""pair"": 1}"
r7/PANEL5mpair_runs.json,class-relative eraz + champion fx,-0.0159,1,False,"{""fx"": ""shoot+prod+eraz""}"
r7/PANEL5mpair_runs.json,position-relative posz + champion fx,-0.0126,3,False,"{""fx"": ""shoot+prod+posz""}"
r7/PANEL5mpair_runs.json,eraz + posz + champion fx,-0.0274,2,False,"{""fx"": ""shoot+prod+eraz+posz""}"
r7/PANEL5mpair_runs.json,eraz + pairwise,-0.0182,1,False,"{""fx"": ""shoot+prod+eraz"", ""pair"": 1}"
r7/PANEL5mpair_runs.json,pairwise k60,-0.0042,2,False,"{""pair"": 1, ""pair_k"": 60}"
r7/PANEL5mpair_runs.json,pairwise depth4,-0.0056,3,False,"{""pair"": 1, ""pair_depth"": 4}"
r7/overnight_runs.jsonl,data wk,-0.0079,2,False,"{""wk"": 1}"
r7/overnight_runs.jsonl,data el,-0.0048,3,False,"{""el"": 1}"
r7/overnight_runs.jsonl,data wk+el,-0.0028,1,False,"{""el"": 1, ""wk"": 1}"
r7/overnight_runs.jsonl,"data wk,intl off",-0.0085,2,False,"{""intl"": 0, ""wk"": 1}"
r7/overnight_runs.jsonl,label cum3,-0.0094,2,False,"{""hw"": ""cum3""}"
r7/overnight_runs.jsonl,label cum4,-0.004,1,False,"{""hw"": ""cum4""}"
r7/overnight_runs.jsonl,label uniform,-0.0136,0,False,"{""hw"": ""uniform""}"
r7/overnight_runs.jsonl,label disc70,-0.0047,2,False,"{""hw"": ""disc70""}"
r7/overnight_runs.jsonl,label front,0.001,3,False,"{""hw"": ""front""}"
r7/overnight_runs.jsonl,label top2,-0.0489,1,False,"{""hw"": ""top2""}"
r7/overnight_runs.jsonl,label rank(not gauss),-0.0121,1,False,"{""label"": ""rank""}"
r7/overnight_runs.jsonl,label noclip,0.0,0,False,"{""clip"": ""none""}"
r7/overnight_runs.jsonl,label log1p,0.0,0,False,"{""clip"": ""log1p""}"
r7/overnight_runs.jsonl,shrink M250,0.0029,3,False,"{""M"": 250.0}"
r7/overnight_runs.jsonl,icl topk100,-0.0059,2,False,"{""icl_topk"": 100}"
r7/overnight_runs.jsonl,icl topk60,-0.0027,3,False,"{""icl_topk"": 60}"
r7/overnight_runs.jsonl,icl ctx drafted,-0.0139,1,False,"{""icl_ctx"": ""drafted""}"
r7/overnight_runs.jsonl,icl n32,0.0015,4,False,"{""icl_n"": 32}"
r7/overnight_runs.jsonl,icl norm none,-0.0009,3,False,"{""icl_norm"": ""none""}"
r7/overnight_runs.jsonl,icl norm power,0.0026,4,False,"{""icl_norm"": ""power""}"
r7/overnight_runs.jsonl,icl norm quantile,-0.004,2,False,"{""icl_norm"": ""quantile""}"
r7/overnight_runs.jsonl,icl outlier2,0.0071,3,False,"{""icl_outlier"": 2.0}"
r7/overnight_runs.jsonl,icl outlier8,-0.0004,2,False,"{""icl_outlier"": 8.0}"
r7/overnight_runs.jsonl,icl shuffle random,-0.0035,1,False,"{""icl_shuffle"": ""random""}"
r7/overnight_runs.jsonl,ridge a30,0.0247,3,False,"{""ridge"": 1, ""ridge_alpha"": 30.0}"
r7/overnight_runs.jsonl,ridge a100,0.0144,2,False,"{""ridge"": 1, ""ridge_alpha"": 100.0}"
r7/overnight_runs.jsonl,ridge a300,0.0161,3,False,"{""ridge"": 1, ""ridge_alpha"": 300.0}"
r7/overnight_runs.jsonl,ridge a1000,0.008,3,False,"{""ridge"": 1, ""ridge_alpha"": 1000.0}"
r7/overnight_runs.jsonl,knn,-0.0286,1,False,"{""knn"": 1}"
r7/overnight_runs.jsonl,catboost,-0.0121,1,False,"{""cat"": 1}"
r7/overnight_runs.jsonl,cat+ridge300,0.0159,2,False,"{""cat"": 1, ""ridge"": 1, ""ridge_alpha"": 300.0}"
r7/overnight_runs.jsonl,cat+knn,-0.032,0,False,"{""cat"": 1, ""knn"": 1}"
r7/overnight_runs.jsonl,resid stack,-0.017,3,False,"{""resid"": 1}"
r7/overnight_runs.jsonl,interaction constraints,0.0097,3,False,"{""ixc"": 1}"
r7/overnight_runs.jsonl,per-season target,-0.0264,1,False,"{""pss"": 1}"
r7/overnight_runs.jsonl,horizon models,0.0062,2,False,"{""hz"": 1}"
r7/overnight_runs.jsonl,cov weights,0.0109,4,True,"{""covw"": 1}"
r7/overnight_runs.jsonl,hz+covw,0.0171,4,True,"{""covw"": 1, ""hz"": 1}"
r7/overnight_runs.jsonl,labelmix2,-0.0045,1,False,"{""labelmix"": ""mix2""}"
r7/overnight_runs.jsonl,labelmix3,-0.0014,2,False,"{""labelmix"": ""mix3""}"
r7/overnight_runs.jsonl,thin mild,-0.0003,3,False,"{""thin"": ""mild""}"
r7/overnight_runs.jsonl,thin strong,-0.0161,2,False,"{""thin"": ""strong""}"
r7/overnight_runs.jsonl,anchor top1,0.0011,1,False,"{""anchor"": ""top1""}"
r7/overnight_runs.jsonl,anchor top3,-0.0092,1,False,"{""anchor"": ""top3""}"
r7/overnight_runs.jsonl,cons .1,-0.0028,3,False,"{""cons"": 0.1}"
r7/overnight_runs.jsonl,cons .2,-0.0074,2,False,"{""cons"": 0.2}"
r7/overnight_runs.jsonl,mono off,0.0005,2,False,"{""mono"": ""off""}"
r7/overnight_runs.jsonl,hurdle,0.0079,3,False,"{""hurdle"": 1}"
r7/overnight_runs.jsonl,bag9,0.0035,3,False,"{""bag"": 9}"
r7/overnight_runs.jsonl,mingp10,0.0,0,False,"{""mingp"": 10}"
r7/overnight_runs.jsonl,risk q25,-0.0078,2,False,"{""risk"": ""q25""}"
r7/overnight_runs.jsonl,fx shoot,-0.004,1,False,"{""fx"": ""shoot""}"
r7/overnight_runs.jsonl,fx shoot+age,-0.0084,2,False,"{""fx"": ""shoot+age""}"
r7/overnight_runs.jsonl,fx posz,0.0037,2,False,"{""fx"": ""posz""}"
r7/overnight_runs.jsonl,fx eraz,-0.0167,1,False,"{""fx"": ""eraz""}"
r7/panel_v5_runs.json,recency .5,-0.0012,0,False,"{""recency"": 0.5}"
r7/panel_v5_runs.json,recency 1.0,-0.0035,1,False,"{""recency"": 1.0}"
r7/panel_v5_runs.json,beat-consensus label,-0.182,0,False,"{""consres"": 1}"
r7/panel_v5_runs.json,ndcg ranking objective,-0.0088,1,False,"{""xgb_obj"": ""ndcg""}"
r7/panel_v5_runs.json,path split col/intl,-0.0023,1,False,"{""pathsplit"": 1}"
r7/panel_v5_runs.json,uncertainty-gated consensus .5,0.0022,4,False,"{""cons_unc"": 0.5}"
r7/panel_v5_runs.json,uncertainty-gated consensus 1,-0.003,0,False,"{""cons_unc"": 1.0}"
r7/panel_v5_runs.json,icl era window 5,-0.0107,1,False,"{""icl_era"": 5}"
r7/panel_v5_runs.json,production monotones,-0.0006,2,False,"{""mono_prod"": 1}"
r7/panel_v5_runs.json,random subspace bags,0.0065,2,False,"{""subspace"": 1}"
r7/panel_v5_runs.json,star .3 top25%,-0.0219,0,False,"{""star"": 0.3, ""star_q"": 0.75}"
r7/panel_v5_runs.json,star .3 top10%,-0.0146,2,False,"{""star"": 0.3, ""star_q"": 0.9}"
r7/panel_v5_runs.json,risk q75,-0.0103,1,False,"{""risk"": ""q75""}"
r7/panel_v5_runs.json,risk mix q25/q75,-0.007,1,False,"{""risk"": ""mix""}"
r7/panel_v5_runs.json,market features,-0.0224,0,False,"{""fx"": ""shoot+prod+market""}"
r7/panel_v5_runs.json,topw1 + recency .5,-0.006,1,False,"{""recency"": 0.5, ""topw"": 1}"
r7/panel_v5_runs.json,pathsplit + icl era 5,-0.0118,1,False,"{""icl_era"": 5, ""pathsplit"": 1}"
