37,-7,42,,Taurean Minor,,40,34,38,27,67,23,66,412,,5-11,PG,"Houston, TX",LSU
38,-1,46,,Thomas Gardner,,29,42,44,70,42,45,49,386,,6-4,WG,"Portland, OR",Missouri
39,3,48,,Gary Forbes,,34,67,37,52,43,46,55,373,,6-4,WG,"Brooklyn, NY",Virginia
39,9,48,,Ronnie Brewer,,24,38,53,69,56,55,39,373,,6-4,WG,"Fayetteville, AR",Arkansas
41,-5,48,,Marcus Williams,,40,61,46,48,64,34,42,372,,6-2,PG,"Mouth of Wilson, VA",Connecticut
42,-5,49,,Terrance Roberts,,49,41,48,63,62,48,32,364,,6-8,PF,"Jersey City, NJ",Syracuse
43,-12,49,,Chris Richard,,37,44,41,57,85,36,44,363,,6-8,PF,"Lakeland, FL",Florida
44,-3,43,,Martin Iti,*,,30,43,40,47,39,59,348,,6-10,C,"Winchendon, MA",Charlotte
45,-1,55,,Will Sheridan,,56,57,59,45,58,44,63,325,,6-8,PF,"Hockessin, DE",Villanova
46,22,56,,Mohamed Abukar,,40,47,60,99,50,68,30,313,,6-9,PF,"San Diego, CA",Florida
47,2,57,,Brandon Jenkins,,40,58,51,67,61,74,50,306,,6-4,PG,"Detroit, MI",Louisville
48,2,58,,Shagari Alleyne,,88,76,52,41,48,27,77,298,,7-3,C,"Manhattan, NY",Kentucky
49,36,NA,,Alexander Johnson,*,,,17,28,,53,16,290,,6-10,C,"North Bridgeton, ME",Florida State
50,11,NA,,Gary Ervin,*,,36,47,46,,49,41,286,,6-1,PG,"Fitchburg, MA",Mississippi State
51,-1,NA,,Drew Naymick,,57,65,45,58,44,54,,283,,6-10,C,"North Muskegon, MI",Michigan State
52,-5,NA,,Courtney Sims,,69,39,49,47,53,71,,278,,6-10,C,"Dedham, MA",Michigan
53,-7,62,,Brian Randle,,84,56,58,64,41,59,70,275,,6-6,WF,"Peoria, IL",Illinois
54,5,62,,Cartier Martin,,58,51,68,89,33,62,72,274,,6-8,WF,"Aldine, TX",Kansas State
55,15,63,,Omar Wilkes,,68,59,56,61,32,80,84,267,,6-3,WG,"Los Angeles, CA",Kansas
56,-3,NA,,Lodrick Stewart,,70,50,63,53,51,58,,261,,6-4,WG,"Seattle, WA",Southern Cal
57,-5,64,,Brandon Foust,,89,92,55,68,54,52,38,259,,6-7,PF,"Columbus, OH",Oklahoma
58, ,NA,,Corey Gibbs,,,96,39,33,,42,40,255,,6-7,PF,"Stone Mountain, GA",Georgia
59,-3,NA,,Major Wingate,,100,49,57,49,,40,58,253,,6-9,C,"Suwanee, GA",Tennessee
60,-27,65,,Reyshawn Terry,,100,70,40,43,93,47,62,252,,6-8,WF,"Winston-Salem, NC",North Carolina
61,-7,66,,J.R. Reynolds,,40,60,54,96,82,67,60,248,,6-3,WG,"Roanoke, VA",Virginia
62,-2,NA,,Brent Petway,,50,68,67,39,73,63,,246,,6-9,PF,"Griffin, GA",Michigan
63,-6,66,,Art Bowers,,97,54,66,44,65,51,88,242,,6-2,WG,"Newark, NJ",Massachusetts
64,new,NA,,Dorrell Wright,,4,16,,83,63,,,238,,6-6,WF,"Lawndale, CA",prep school
65,6,68,,Michael Nardi,,53,79,85,80,40,57,83,230,,6-1,PG,"Elizabeth, NJ",Villanova
66,-2,NA,,Paul Millsap,,35,,74,59,28,84,,225,,6-8,PF,"Grambling, LA",Louisiana Tech
67,-1,NA,,Jeremy Ingram,,63,,61,55,77,66,78,206,,6-3,WG,"Kinston, NC",Wake Forest
68,new,NA,,Guillermo Diaz,,70,31,70,,29,,,204,,6-1,PG,"Miami, FL",Miami (FL)
68,-5,72,,Jermareo Davidson,,100,74,75,65,59,50,80,204,,6-9,PF,"Stone Mountain, GA",Alabama
70,18,72,,Dwight Brewington,,52,55,73,82,89,73,82,201,,6-4,WG-PG,"Lynn, MA",Providence
71,11,NA,,Dameon Mason,,94,40,81,79,37,83,,192,,6-5,WG,"Aurora, IL",Marquette
72,-17,NA,,Kenneth Harris,,39,72,50,75,100,85,,185,,6-9,C,"Hammond, IN",Valparaiso
73,4,NA,,Wesley Green,,,53,95,85,68,,28,176,,6-9,C,"Eustis, FL",DePaul
74,-12,NA,,Darian Townes,,59,62,64,81,87,79,,174,,6-10,C,"Washington, DC",Georgetown
75,new,NA,,Lorenzo Wade,,60,45,,,36,,,162,,6-4,WG,"Las Vegas, NV",prep school
76,-3,NA,,Dez Willingham,,38,,80,72,94,65,,156,,5-11,PG,"De Soto, TX",Kansas State
77,-10,NA,,Hassan Fofana,*,,64,62,,,56,68,154,,6-9,C,"Chatham, VA",Maryland
78,-10,NA,,Marquise Kately,*,,,72,77,,78,31,146,,6-5,WG-PG,"Atlanta, GA",California
79,new,NA,,Anthony Tucker,,,66,78,60,60,,,140,,6-6,PF,"Raleigh, NC",Texas
80,new,NA,,Vincent Banks,,70,73,,,26,,,134,,6-1,WG-PG,"Atlanta, GA",prep school
80,4,NA,,Renaldo Balkman,*,,91,86,66,,64,64,134,,6-6,WF,"Bradenton, FL",South Carolina
82,-7,NA,,Wesley Washington,,55,,92,51,100,75,,132,,6-4,WG,"Santa Ana, CA",Minnesota
83, ,NA,,Tim Morris,,100,63,69,76,69,99,,130,,6-3,WG,"Smyrna, GA",Stanford
84,9,80,,Sammy Mejia,*,,99,65,88,83,82,65,124,,6-5,WF,"Cornwall on Hudson, NY",DePaul
85,-5,NA,,Lawrence McKenzie,,36,89,87,,71,,,121,,6-2,PG,"Minneapolis, MN",Oklahoma
86,new,NA,,Matt Causey,,,69,97,56,,89,85,109,,5-11,PG,"Lilburn, GA",Georgetown
87,-9,NA,,Keith Wooden,,100,84,83,54,88,91,,106,,6-8,PF,"Lawrence, KS",Arizona State
88,10,NA,,Brandon Wallace,,100,,,,52,,52,99,,6-9,PF,"Aiken, SC",South Carolina
89,-15,NA,,Omari Israel,,70,,79,,,69,90,96,,6-7,PF,"Wheaton, MD",Notre Dame
90,6,NA,,Gerald Brown,,64,,,,72,,73,94,,6-4,WG,"Baltimore, MD",Providence
90,-1,NA,,Ryan Appleby,,65,,,,,,43,94,,6-3,PG,"Stanwood, WA",Florida
92,2,NA,,Daon Merritt,,40,,,,,,69,93,,5-10,PG,"Bronx, NY",Richmond
93,new,,,Devon Evertson,,9,,,,,,,92,,6-7,WF,"Phoenix, AZ",Boston College
94,-3,NA,,Will Blalock,*,,,,91,,77,46,89,,6-0,PG,"Fitchburg, MA",Iowa State
95,new,NA,,Josh Boone,,,,71,98,,,51,83,,6-9,PF-C,"Colora, MD",Connecticut
96,new,,,Sylvester Mays,,19,,,,,,,82,,6-0,PG,"Ft. Wayne, IN",prep school/JuCo
97,new,NA,,"Patrick Ewing, Jr.",,,97,84,74,,70,,79,,6-8,PF-WF,"Fort Washington, MD",Indiana
98,-4,NA,,Karron Clarke,*,,,76,73,,76,,78,,6-5,WF,"Winchendon, MA",Miami (FL)
99,-9,NA,,Shawn Taylor,,,,,71,,61,94,77,,6-10,C,"Vienna, GA",Alabama
100,-35,NA,,Longar Longar,,61,77,,,,89,,76,,6-11,C,"Rochester, MN",Oklahoma
